FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2019","Admiral Schmidt","Shanghai Shipyard Co, Ltd. China","Shanghai Merchant Ship Design &","Arctic Shipping &","Latvia","6 September 2019","abt. 250m","14.08knots (60% MCR)","9838838","66,291gt","1","126,357.6t","WinGD","WinGD W7X62-B TIER III WITH HP","1","Reefer"
"SS 2019","Aurora Spirit","Samsung Heavy Industries","Samsung Heavy Industries","Teekay Offshore","Bermuda","November 2019","Approx. 277m","14.5knots lncl. 15% power margin (91% of MPP)","9837169","","Nil","156,300t","","","","LNG Carrier"
"SS 2019","Berge Logan","Guangzhou Shipyard","Shanghai Merchant Ship Design &","Berge Bulk Maritime","Singapore","28 February 2019","327.00m","14.5kN @ 90% SMCR","9739525","151,969gt","1","339,965.10t","MAN B&W","6G80ME-C9.2 Tier II with low load exhaust gas bypass tuning","1 set","Bunkering Tanker"
"SS 2019","Bow Orion","Hudong-Zhonghua shipyard","Shanghai Merchant Ship Design &","Odfjell","Norway","26 August 2019","182.88m","14.0knots","9818515","34,646gt","","","7,820kW (SMCR)","DNV NAUT-OC","1","Tanker"
"SS 2019","CB Adriatic","Jiangsu New Hantong Ship","Shanghai Merchant Ship Design & Research Centre (SDARI)","Elfte Büttner","Germany","28 October 2019","183.00m","13.65knots","9851696","27,250gt","1","48,903.6t","MAN","6S50ME-C9.6-HPSCR with scrubber","1","Research Vessel"
"SS 2019","China Steel Liberty","CSBC Corporation, Taiwan","CSBC Corporation","China Steel Express","Taiwan","20 May 2019","299.7m","14.5","9832975","105,964gt","2","abt. 236,100t","MAN B&W","6S70ME-C8.5","1","Mooring Launch"
"SS 2019","Clipper Eos","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Solvang","Norway","31 January 2019","abt. 159.9 m","15.95knots","9827205","18,898gt","3","","Hyundai Heavy","HYUNDAI-MAN B&W 6S50ME-","1","Tanker"
"SS 2019","CMA CGM Argentina","Hyundai Samho Heavy","Hyundai Samho Heavy Industries","Eastern Pacific Shipping / CMA CGM","Singapore","1 July 2019","365.98m","22knots at design draught at","9839909","149,314gt","3 off","199,983t (at Scant.)","Hyundai-Man B&W","11G90ME-C10.5-EGRTC","1 off","Container Ship"
"SS 2019","Dijilah","Samsung Heavy Industries","Samsung Heavy Industries","Al-Iraqia Shipping Services & Oil Trading (AISSOT)","UAE","17 January 2019","Approx. 333m","14.8knots incl. 15% power margin (65.9% DMCR)","9829629","161,960gt","4","364,700t","MAN Energy Solutions","MAN B&W 7G80ME-C9.5","1","Tanker"
"SS 2019","Eagle Brasilia","Samsung Heavy Industries","Samsung Heavy Industries","AET Tankers Pte Ltd","Malaysia","4 January 2019","Approx. 250m","14.5knots incl. 15% Power","9795062","62,150gt","1","112,900t","WinGD","6X62DF","1","Tanker"
"SS 2019","Express 4","Austal Pty Ltd","Austal","Molslinjen","Denmark","29 January 2019","109m","37knots at 75% MCR","9824564","11,345gt","Nil","2,500t","MAN","20V 20/33D STC","4","Ro-Ro"
"SS 2019","GasLog Warsaw","Samsung Heavy Industries","Samsung Heavy Industries","GasLog Ltd","Greece","","297m","19.5knots","9816763","120,800gt","Nil","","WinGD","5X72DF","2 sets","LNG Carrier"
"SS 2019","Histria Atlas","Santierul Naval Constanta S.A. (Constanta Shipyard)","Ship Design & Consult GmbH","Histria Shipmanagement Srl","Romania","24 April 2019","180.00m","14.00knots (88% SMCR)","9800790","26,310gt","Nil","49,762t","MAN Diesel","MAN B&W 6S50ME – C9.5 Tier II","1","Tanker"
"SS 2019","Hourai Maru","Namura Shipbuilding Co., Ltd","Namura Shipbuilding Co., Ltd","Southern Pacific Holding","Republic of Panama","11 March 2019","182.97m","","9796585","25,458gt","Nil","","","","","Research Vessel"
"SS 2019","Hunter Atla","Daewoo Shipbuilding & Marine","DSME","Hunter Tanker AS","Norway","24 September 2019","336.0m","14.8knots","9851830","156,452gt","4","","MAN Energy Solutions","MAN B&W 7G80ME-C9.5 (derated)","1","Tanker"
"SS 2019","Hypatia de Alexjandría","Cantiere Navale Visenini SRL","Cantiere Navale Visenini SRL","Balearia Eurolineas","Spain","21 January 2019","186.48m","24.65knots","9498755","28,658gt","1","18,090.2t full load cond","","","","Naval Vessel"
"SS 2019","JS Ineos Marlin","Dalian Shipbuilding Offshore","JHW","Evergas Management AS","Denmark","28 March 2019","231.57m","18.18knots at 16,080kW","9799379","59,226gt","Nil","75,920t","MAN B&W","6G60ME-C9.5-GIE-TII & TIII","1","Supply Vessel"
"SS 2019","Kai Oldendorff","Jiangsu Hantong Ship HI","Shanghai Merchant Ship Design & Research Institute (SDARI)","Oldendorff Carriers","Germany","31 January 2019","228.28m","14.3knots","9834375","44,029gt","5","","","","","Research Vessel"
"SS 2019","KMTC Tokyo","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Mitsui & Co., Ltd","Japan","28 February 2019","172.07m","abt. 19.9knots","9848871","17,853gt","7","","Hyundai-MAN B&W 6S60ME-C10.5(Tier II)","KAA006660","1","Barge"
"SS 2019","Lachin","Baku Shipyard LLC","Marine Enginerring Bureau","Azerbaijan Caspian","Azerbaijan Republic","13 December 2019","141.00m","10.5knots","9821469","5,371gt","3","10,414t","Diesel engine","6L20","2","Tanker"
"SS 2019","Laureline","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","CLdN Cobelfret","Luxembourg","4 January 2019","abt. 216.5m","17.60knots","9823352","50,443gt","3","","Hyundai-MAN B&W","Hyundai-MAN B&W 7S50ME-C9.5(Tier II)","1","Container Ship"
"SS 2019","Maran Gas Andros","Daewoo Shipbuilding & Marine","DSME","Maran Gas Maritime Inc","Greece","14 June 2019","294.9m","19.42knots","9810379","113,793gt","1","","MAN B&W","5G70ME-C9.5-GI","2","Reefer"
"SS 2019","Mari Couva","Hyundai Mipo Dockyard Co.Ltd","Hyundai Mipo Dockyard Co., Ltd","Marinvest AB/Waterfront","Sweden","16 August 2019","183m","14.5knots","9848584","29,900gt","3","","Hyundai - MAN B&W","B&W 6G50ME-C9.5-LGIM-HPSCR","1","Research Vessel"
"SS 2019","Mater","Chengxi Shipyard Co, Ltd","SDARI","Mater Shipping Ltd/ Royal","China","14 June 2019","210.00m","14.38knots","9841184","52,906gt","4","78,031.7t","MAN","MAN 6G50ME-C9.5 TIII","1","Research Vessel"
"SS 2019","Matterhorn Explorer","Hyundai Samho Heavy","Hyundai Samho Heavy Industries","CCB Financial Leasing Co., Ltd / Trafigura","China/Switzerland","15 May 2019","229.98m","16.8knots at design draught","9847425","46,668gt","3","69,699 (at scant)","Hyundai-B&W","6G60ME-C9.5","1 off","Reefer"
"SS 2019","MSC Gülsün","Samsung Heavy Industries","MAN Energy Solutions","Mediterranean Shipping","Switzerland","4 July 2019","399.903m","23.2knots (90% DMCR output)","9839430","approx.233,500gt","3","292,360t at Ts","Samsung HI/MMG","MAN B&W 11G95ME-C9.5","1","Container Ship"
"SS 2019","MSC Josseline","Hyundai Heavy industries","Hyundai Heavy Industries","Zodiac Maritime / MSC","United Kingdom","1 June 2019","Max.366.00m","22.00knots","9842061","140,976gt","4","190,897t","Hyundai","WinGD 10X92 – B","1","Container Ship"
