FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SSS 2020","A.P.T. James","AustalVietnam","AustalShips","NationalInfrastructureDevelopmentCompany","TrinidadandTobago","November2020November2020sawAustralianshipbuilderAustaldeliverthefirstcommercialvesselconstructedentirelyatits9,820m2VungTaufacilityinVietnamsincethatsitecommencedoperationsinMarch2018","94m","44knots","","6,542tonnes","","","MAN","16V28/33D","4","Naval Vessel"
"SSS 2020","BelovHumaitá","BelovEngenhariaLtda","RobertAllanLtd","Belov","Brazil","March2020There’sbeenarenewedwaveofinvestmentsintheBrazilianoffshoresector, spurringdemandforhighlyspecialisedsupportvessels","40.5m","12knots","","499tonnes","","583.8tonnes","","","",""
"SSS 2020","BoğaçayXXVII","SanmarShipyards","RobertAllanLtd","Sanmar","Turkey","January2020DeliveredbySanmarShipyardstoSanmar’stowagearminJanuary2020, BoğaçayXXII isthefirstugtobepoweredbyCaterpillar’sAdvancedVariableDrive (AVD) hydro- mechanicalhybridpropulsionsystem, andhasbeendescribedasanevolutionofRobertAllanLimited’s (RAL’s) RAmparts2400-SXdesign","24.4m","13.42knots","","315tonnes","","545tonnes","CAT","2 × 3512C / 1 × C32","2 + 1","Tug"
"SSS 2020","Bryggen","DamenShipyardsGroup","DamenShipyardsGroup","ArrivaDenmarkA/S","Denmark","July2020TheDamenFerry (DFe) 2306E3vesseltype, ofwhichBryggenwasthefirstinclass, featuresanall-electric, completelyemission-freepropulsionsystem. SevenofthevesselsarenowoperatinginCopenhagen, operatingfromthreechargingpoints. ThevesselsfeatureDamen’sE3notation, whichstandsfor ‘environmentallyfriendly’, ‘efficientinoperation’ and ‘economicallyviable’","23.3m","9.5knots","","101.29tonnes","","70tonnes (max)","","","","Ferry"
"SSS 2020","CP329","CantiereNavaleVittoria","CamarcDesign","ItalianCoastGuard","Italy","September2020CP329isoneofthefirstwovesselsinafive- boatorderfortheItalianCoastGuard (GuardiaCostiera), aseriesofsearchandrescue (SAR) vesselscompletedthrough2020. TheseboatsrepresenthelatestmodelsandadditionstotheCoastGuard’sClass300fleet, builtbyItalianyardCantiereNavaleVittoria","20.1m","35+knots","","","","33.3tonnes","MTU","8V200 M84L","2",""
"SSS 2020","FSDN800","FerrettiSecurityDivision / FerrettiS.p.A","FerrettiSecurityDivision","ArmadeiCarabinieri – ServizioAeronavale","Italy","October2020TheFerrettiSecurityDivision (FSD) branchofItalianyachtspecialistFerrettiGrouphaslaunchedtheFSDN800asthefirstofsixteenpatrolboatstojointhefleetoftheCarabinieri, Italy'snationalpoliceforce, whichisputtingtheboatouseincoastalandterritorialwaters","16.75m","34knots","","","","25.5tonnes (laden) 21.7tonnes (unladen)","MAN","i6-800","2","Yacht"
"SSS 2020","H401 / Curiosity / CityFish","Halimar, BreauxBrothers, StJohns","IncatCrowther","NYCFerry","US","namely, HalimarShipyardofMorganCity, LouisianandBreauxBrothersEnterprisesofLoreauville, Louisiana","29.6m","26.5knotsMainengines","","","","","Baudouin","12M26.3","2","Ferry"
"SSS 2020","HelenRice","FergusonMarine","MacduffShipDesign","InverlussaMarineServices","UK","March2020aunchedinMarch, HelenRicewasdesignedbyMacduffShipDesignandcompletedbyFergusonMarineEngineeringatitsyardontheRiverClyde. Thevessel, describedbyMacduffasa “multiroleworkboat”, featuresalarge, openworkingdeckwithoffsetportcasing, forimprovedstarboardsideaccess, inadditiontoasizeableforwardramp. Thislayoutisintendedtohelphercomplementachieveawiderangeoftasks, rangingfromgeneralcargotransportationtonicheaquaculture-relateduties","21m","10.5knots","","","","240tonnes","Doosan","4L126TIH","2","General Cargo"
"SSS 2020","ISeeOne","WightShipyardCo","One2ThreeNavalArchitects","CaptainMorganHoldingsLtd","Malta","March-April2020The33mferryISeeOnewasdesignedbyOne2ThreeNavalArchitectsofAustraliandbuiltbyWightShipyardCo. (WSC), UKasabespoke, passenger-onlyvesselforCaptainMorganHoldingsLtd, asubsidiaryofFortinaInvestments","34.04m","30knotsMainengines","","211tonnes","","","MAN","D2862LE422","2",""
"SSS 2020","Kaguya","KawasakiHeavyIndustries","KawasakiHeavyIndustries","CentralLNGShippingJapanCorporation","Japan","September2020KaguyahasbeenhailedasJapan’sfirstLNGbunkeringvessel, deliveredbyKawasakiHeavyIndustries (KHI) toCentralLNGShippingJapanCorporation (CLS), ajointventureownedbyNipponYusenKaisha, KawasakiKisenKaisha, JERACo. andToyotaTsushoCorporation. ThevesselwillconductitsbunkeringactivitiesatJERAKawagoeThermalPowerStation, inJapan’sChuburegion","81.7m","","","4,044tonnes","","","TaiyoElectricCo","IW400L","2","LNG Carrier"
