FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2022","AmoreMio","HyundaiSamhoHeavy","MANEnergySolutions","CapitalShip","Liberia","25July2022","324","1","9926685","Hi- PSDand","Nil8SIGNIFICANTSHIPSOF2022","342,576","HyundaiHeavy","Hyundai- MANB & W7G80ME- C9.5- HPSCR",""
"SS 2022","AuraSeaways","GuangzhouShipyard","6.80m","DFDSA /S","Denmark","18December2021","4,072lmtrailers,163lmcars(gross)","23.0","9851036","56,043t","Nil","32,430t","","",""
"SS 2022","AvenirAspiration","NantongCIMCSinopaciﬁc","Kongsberg","AvenirLNGLimited","Malta","08October2021","111.3m","1","9868962","LNGdualfuel,LEDlighting,ventilationoptimisation,VFDforelectricmotors","Nil14SIGNIFICANTSHIPSOF2022","","MAN8L23/30DF","FAR- 3310",""
"SS 2022","BoreWay","WuhuShipyardCo.,Ltd","6.75m","BoreWayOYAB","Finland","January2022","75.6m","360","9892884","LNGdualfuel,wasteheatrecovery,PTO,windresistanceoptimizedsuperstructure","116SIGNIFICANTSHIPSOF2022","1,1161t","Wärtsilä","8L34DF",""
"SS 2022","CemtexExcellence","OshimaShipbuildingCo.,Ltd","MitsuiE & SMachineryCo.,Ltd","U- MingMarineTransport","RepublicofChina","14March2022","235.00m","14.30","9919371","54,244","218SIGNIFICANTSHIPSOF2022","","","",""
"SS 2022","ChangZan","DamenYichangShipyard","MAN","ShanghaiChangjiang","PRChina","March2022","119.60m","1","9916111","4draughts","Nil20SIGNIFICANTSHIPSOF2022","","5DK- 20e/6DK- 20e","5S35ME- B9.7TierII",""
"SS 2022","CMACGMDignity","HyundaiHeavyIndustries","Electronicallycontrolledtwo-stroke,directreversible,crossheadtypedieselengine","CMACGM","Malta","10February2022","6,058mm(20ft),12,192mm(40ft)","21.65","9897779","Rudderbulb,Propellerbosscapfins","1422SIGNIFICANTSHIPSOF2022","","HHI- EMD","MANB & W11G90ME- C10.5-",""
"SS 2022","CoralNordic","JiangnanShipyard(Group)","Wärtsilä","AnthonyVeder","Netherlands","12October2022","172.80m","1","9919890","EnergoProFin,Mainexhaustgaseconomizer,LEDlighting,VFDforseacoolingwaterpump,VFDforfreshcoolingwaterpump","Nil24SIGNIFICANTSHIPSOF2022","","Renk","8L50DF",""
"SS 2022","DongYi601","PenglaiZhongbaiJinglu","MAN","FujianDongYiShipping","China","29April2022","221.5m","700","","TankEnergy","626SIGNIFICANTSHIPSOF2022","87,524","SMARD","6S50ME- C9.7TierII",""
"SS 2022","EagleCampos","HyundaiHeavyIndustries","MANB & W","AET","Malaysia","22December2021","269.0m","4","9902225","Rudderbulb,Pre- swirlduct","Nil30SIGNIFICANTSHIPSOF2022","","Wärtsilä","Hyundai- MANB & W6G70ME-",""
"SS 2022","EagleValence","SamsungHeavyIndustries","WinGD","AET","Singapore","28February2022","323.4m","1","9910234","SAVER- Fins(SAmsungVibrationandEnergyReduction","Nil32SIGNIFICANTSHIPSOF2022","343,400MTatscantlingdraught","Samsung /Sillametal","7X82DF",""
"SS 2022","FinnecoI","ChinaMerchantsJinling","7.20","FinnlinesPlc","Finland","28April2022","5,800","19.0","9856830","Airlubrication,batterypack2* 2,500kWh,wasteheatrecovery,solarpanels600m2","Nil34SIGNIFICANTSHIPSOF2022","","Hyundai- MAN2x12,780kW","Hyundai- MANB & W9S50ME- C9.6","yes"
"SS 2022","FridaKnutsen","DaewooShipbuilding &","WinterthurGas & DieselLtd","KNOT(KnutsenNYK","Norway","August2022","264.5m","3","9905916","PartialLEDlighting,VFDforthrusters,MainCSWpumps,ERfansandcargopumps,Shaftgenerators,ABBEnergystoragesystem","036SIGNIFICANTSHIPSOF2022","154,500MT","DSME /Wärtsilä","WinGD6X52DF",""
"SS 2022","Greenway","GuangzhouShipyard","CMD","EasternPaciﬁcShipping","Liberia","28June2022","269.0m","1","9900796","","Nil38SIGNIFICANTSHIPSOF2022","184,318t","","",""
"SS 2022","BajamarExpress","Austal","WinterthurGas & Diesel","FredOlsenExpress","SpanishMaritimeAuthority","December2021","157.00m","1","9874296","Rudderbulb,LNGdualfuel","142SIGNIFICANTSHIPSOF2022","","Wärtsilä","5RT-flex50DF",""
