FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2007","Bocas Del Toro","Cheoy Lee Shipyards Ltd","Robert Allan Ltd","Panama Canal Authority","-","January 2007","27.40m","12.5","","","5","","","",""
"SSS 2007","Bourbon Trieste","Shipyard De Hoop Lobith","-","Bourbon Offshore","French","27 September 2007","85.2m","","","","-","","","",""
"SSS 2007","Bugsier 6; Bugsier 4; Bugsier 5","ASL Shipyard","Kooren Shipbuilding and Trading","Bugsier Reederei Hamburg","Germany/Malta","Bugsier 6 December 2007","81.70m","12","","","5","","","",""
"SSS 2007","a Plimsoll combined anchor/towing winch; two pool high holding power anchors; and a 9tonne-10tonne (25tonne option) hydraulic crane","","","","","","Hull + 100 A5 M (TUG) Machinery + MC AUT FF1, the sisters have a displacement of 456tonnes","","","","","","","",""
"SSS 2007","Burak","Damen Shipyards Gorinchem","Damen Shipyards Gorinchem","Istanbul Metropolitan","Turkish","March 2007","26.10m","Furuno","","","-","456tonnes","","",""
"SSS 2007","Don Inda","Astilleros Zamakona","Rolls-Royce","Maritime Safety Authority","Spanish","January 2007","42.90m","80","","","0","","","",""
"SSS 2007","Edda Fram","Astilleros Gondan SA","Skipsteknisk A/S","Østensjø Rederi A/S","Norwegian","June 2007","70.10m","17.6","","","1","","","",""
"SSS 2007","Elyah and Assad","Grandweld","Robert Allan Ltd","Abu Dhabi National Oil","United Arab Emirates","30 September 2007/Assad 28 October 2007","77.40m","2","","3800gt","-","","","",""
"SSS 2007","Far Sapphire","Aker Yards Langsten","2.5m","Farstad Shipping ASA","Nowegian","December 2007","17.40m","1800","","124gt","0","239.2tonnes","","",""
"SSS 2007","First and Ten","Bollinger Shipyards Inc","6.0m","Rigdon Marine","USA","August 2007","81.30m","Variable","","Dynamic Positioning-2 (DP-2), with a diesel-electric propulsion arrangement. This system provides fuel efficiency and performance redundancy","8","","","",""
"SSS 2007","Geograph","Fjellstrand A/S","1706dwt","Geo ASA","Norwegian","October 2007","54.90m","2","","+1A1, ICE-1B, E0, DYNPOS-AUTR, Dk+","0","2824tonnes","","",""
"SSS 2007","Grampian Talisman","Balenciaga Shipyard","IMT Marine Consultants","North Star Shipping Ltd","UK","August 2007","61.8m","1","","2600gt","1","","","",""
"SSS 2007","Guan Xiao Yi Hao","Wang Tak Engineering and","5.00m","Port Authority of Dongguan","Chinese","February 2007","72.60m","13.00","","2900gt","0","","","1 reduction ratio",""
"SSS 2007","Harry Evans","Cheoy Lee Shipyards Ltd","Robert Allan Ltd","Rio Tinto Aluminium","Australian","23 November 2007","36.05m","16","","","4","","","",""
"SSS 2007","Ibeev-03","Northern Shipyard (Remontowa Group)","4.85m","AGIP Kazakhstan North","Vanuatu","March 2007","28.63m","12.5","","399gt","2 + 2 options","119tonnes","","",""
"SSS 2007","Jacque Cartier","Strategic Marine","2.10m (winter conditions)","Compagnie Corsaire","French","August 2007","42.34m","","","452gt","0","","","",""
"SSS 2007","Joint Multi Mission","Aluminum Chambered Boats","Aluminum Chambered Boats Inc","Aluminum Chambered","American","May 2007","31.6m","29","","","0","","","",""
"SSS 2007","Orhan Gazi-1","Austal","0.7m","Istanbul Metropolitan","Turkey","September 2007","12.25m","24","","11gt","0","","","",""
"SSS 2007","Provider","South Boats Special","3.62m","MBL Supply AB","Swedish","16 August 2007","77.3m","280","","","1","","","",""
"SSS 2007","Royal Charter","Safehaven Marine","1.35m","Port of Liverpool","UK","September 2007","14.05m","30","","18.36gt","3","24.17tonnes","","",""
"SSS 2007","Sea Scape 1","FBMA Marine Inc","1.2m","Sea SA","Australian","March 2007","12.19m","27","","21gt","-","13,000kg","","",""
"SSS 2007","Simara Ace/Siluna Ace","Remontowa SA","1.6m","ACE-Link A/S","Swedish","19 November 2007","50.76m","15","","","1","130tonnes","","",""
"SSS 2007","Svitzer Sakhalin","ASL Shipyard","2.80m/3.00m","SvitzerWijsmuller","Danish","February 2007","51.20m","1480","","1665gt","0","(ro=1.010/1.025t/m3) 1053.6tonnes/1069.2tonnes","","",""
"SSS 2007","Tansøy","Båtservice Mandal A/S","Ola Lilloe-Olsen/Båtservice","Fjord1 Fylkesbaatane","Norwegian","24 January 2007","34.5m","13.5","","","1","6m3","","",""
"SSS 2007","The Grand Canal Shoppes","Austal","Austal","Venetian Marketing","Hong Kong SAR","October 2007","29.45m","22","","","6","","","",""
"SSS 2007","Thor","Main Iron Works","1.6m","Suderman & Young Towing Co","USA","A1 Towing Service AMS Escort Fi-Fi1 by Main Iron Works of Houma Louisiana","41.55m","45","","","3","","","",""
"SSS 2007","Tiger","Sabre Marine & General","Michael Hunn Marine","North Western Shipping and Towage Ltd","Australian","November 2006","30.00m","13","","","-","","","",""
"SSS 2007","VB Jerez","Union Naval Valencia Ltd","Robert Allan","Sertosa (Grupo Boluda)","Spanish","I Hull  Mach Tug AUT-UMS Firefighting E and complies with Spanish administration rules","10.6m","33","","","0","10.8tonnes","","",""
"SSS 2007","Vos Tracker","Damen Shipyards Gorinchem","3.00m","Vroon Offshore Services BV","The Netherlands","September 2007","21.46m","80","","237gt","2","395tonnes","","",""
"SSS 2007","Wedel","","4.25m","Hamburg Water and","Germany","30 March 2007","44.40m","","","425gt","0","","","",""
"SSS 2007","Xplorer","Alnmaritec Ltd","Alnmaritec Ltd","North Sea Logistics","-","22 February 2007","23.90m","6","","","1","102tonnes","","",""
